Customer ID,Customer Name,Customer Email,Age Group,Total Purchases,Amount Spent,Customer Since
CID0322,Jessica Davisfield,jessica.davisfield@yahoo.com,56 to 65,15,1039.32,2020
CID0323,Jill Brown,jill.brown@yahoo.com,26 to 35,39,7632.09,2015
CID0324,Jimmy Harris,jimmy.harris@yahoo.com,36 to 45,35,7511.32,2023
CID0325,Joan Scott,joan.scott@yahoo.com,56 to 65,5,5118.6,2022
CID0326,Joe Lewis,joe.lewis@yahoo.com,66 to 70,11,3234.17,2021
CID0327,John Brownstone,john.brownstone@yahoo.com,36 to 45,85,7107.29,2012
CID0328,John Davisfield,john.davisfield@yahoo.com,36 to 45,21,1843.12,2010
CID0329,John Johnsonson,john.johnsonson@yahoo.com,46 to 55,83,1834.9,2017
CID0330,John Jonesfield,john.jonesfield@yahoo.com,56 to 65,84,4545.6,2011
CID0331,John Millerfield,john.millerfield@yahoo.com,66 to 70,51,7867.94,2011
CID0332,John Mooreland,john.mooreland@yahoo.com,46 to 55,24,8739.24,2021
CID0333,John O'Shea,john.o'shea@yahoo.com,46 to 55,62,8567.93,2021
CID0334,John Smithson,john.smithson@yahoo.com,18 to 25,95,2694.96,2020
CID0335,John Taylorson,john.taylorson@yahoo.com,66 to 70,98,7095.54,2018
CID0336,John White,john.white@yahoo.com,46 to 55,97,4086.22,2023
CID0337,John Williamson,john.williamson@yahoo.com,26 to 35,8,1583.79,2019
CID0338,John Wilsonfield,john.wilsonfield@yahoo.com,18 to 25,20,9502.92,2015
CID0339,Johnathan Michaels,johnathan.michaels@yahoo.com,26 to 35,87,8135.94,2014
CID0340,Jordan Davis,jordan.davis@yahoo.com,18 to 25,85,615.99,2012
CID0341,Josephine Harris,josephine.harris@yahoo.com,46 to 55,69,7787.45,2010
CID0342,Joshua Brown,joshua.brown@yahoo.com,56 to 65,49,7571.81,2017
CID0343,Julia Green,julia.green@yahoo.com,36 to 45,42,4168.55,2016
CID0344,Justin Young,justin.young@yahoo.com,46 to 55,97,9343.57,2020
CID0345,Kara Johnson,kara.johnson@yahoo.com,26 to 35,78,6271.78,2010
CID0346,Karen Davis,karen.davis@yahoo.com,66 to 70,67,2070.87,2018
CID0347,Kate White,kate.white@yahoo.com,46 to 55,42,1379.41,2010
CID0348,Katie Brownfield,katie.brownfield@yahoo.com,36 to 45,48,7232.3,2015
CID0349,Katie Davisfield,katie.davisfield@yahoo.com,66 to 70,39,3015.27,2011
CID0350,Katie Johnsonson,katie.johnsonson@yahoo.com,18 to 25,76,5118.64,2019
CID0351,Katie Jonesfield,katie.jonesfield@yahoo.com,18 to 25,58,3463.12,2019
CID0352,Katie Millerfield,katie.millerfield@yahoo.com,56 to 65,42,9832.26,2020
CID0353,Katie Mooreland,katie.mooreland@yahoo.com,56 to 65,29,1329.52,2017
CID0354,Katie Smithson,katie.smithson@yahoo.com,18 to 25,63,2926.11,2016
CID0355,Katie Williamson,katie.williamson@yahoo.com,36 to 45,50,6716.56,2016
CID0356,Katie Wilsonfield,katie.wilsonfield@yahoo.com,36 to 45,82,7393.28,2011
CID0357,Kayla Harris,kayla.harris@yahoo.com,56 to 65,79,6412.03,2023
CID0358,Kelly Brown,kelly.brown@yahoo.com,26 to 35,71,9679.8,2012
CID0359,Ken Scott,ken.scott@yahoo.com,46 to 55,99,5709.98,2015
CID0360,Laura Davisfield,laura.davisfield@yahoo.com,46 to 55,42,8761.09,2011
CID0361,Laura Johnsonson,laura.johnsonson@yahoo.com,56 to 65,14,838.75,2012
CID0362,Laura Jonesfield,laura.jonesfield@yahoo.com,36 to 45,32,8489.27,2013
CID0363,Laura Martinezville,laura.martinezville@yahoo.com,56 to 65,6,6456.31,2016
CID0364,Laura Millerfield,laura.millerfield@yahoo.com,56 to 65,39,9578.22,2013
CID0365,Laura Mooreland,laura.mooreland@yahoo.com,56 to 65,67,8520.21,2017
CID0366,Laura Smithson,laura.smithson@yahoo.com,26 to 35,41,5206.06,2021
CID0367,Laura Taylorson,laura.taylorson@yahoo.com,18 to 25,53,6968.06,2012
CID0368,Laura Williamson,laura.williamson@yahoo.com,66 to 70,73,5850.95,2015
CID0369,Laura Wilsonfield,laura.wilsonfield@yahoo.com,46 to 55,67,2821.66,2013
CID0370,Lily Andersonfield,lily.andersonfield@yahoo.com,46 to 55,44,8784.07,2018
CID0371,Lily Clarkson,lily.clarkson@yahoo.com,46 to 55,16,3849.42,2014
CID0372,Lily Collinsfield,lily.collinsfield@yahoo.com,26 to 35,26,6015.21,2019
CID0373,Lily Davisfield,lily.davisfield@yahoo.com,66 to 70,55,9792.39,2012
CID0374,Lily Greenway,lily.greenway@yahoo.com,66 to 70,15,2944.45,2020
CID0375,Lily Harrington,lily.harrington@yahoo.com,56 to 65,79,4410,2015
CID0376,Lily Johnsonson,lily.johnsonson@yahoo.com,56 to 65,54,9669.31,2020
CID0377,Lily Lewisfield,lily.lewisfield@yahoo.com,18 to 25,60,3778.76,2016
CID0378,Lily Scottman,lily.scottman@yahoo.com,36 to 45,52,1885.63,2013
CID0379,Lily Walkerfield,lily.walkerfield@yahoo.com,26 to 35,55,4572.8,2018
CID0380,Lily Whitehouse,lily.whitehouse@yahoo.com,56 to 65,76,3174.97,2015
CID0381,Lily Youngs,lily.youngs@yahoo.com,26 to 35,85,7324.04,2011
CID0382,Logan Lewisfield,logan.lewisfield@yahoo.com,66 to 70,61,7299.85,2010
CID0383,Lucas Andersonfield,lucas.andersonfield@yahoo.com,26 to 35,66,6704.51,2014
CID0384,Lucas Brownfield,lucas.brownfield@yahoo.com,36 to 45,78,5453.18,2023
CID0385,Lucas Greenway,lucas.greenway@yahoo.com,66 to 70,21,9163.93,2016
CID0386,Lucas Harrington,lucas.harrington@yahoo.com,18 to 25,64,7340.16,2010
CID0387,Lucas Johnsonson,lucas.johnsonson@yahoo.com,46 to 55,53,6198.53,2023
CID0388,Lucas Martinson,lucas.martinson@yahoo.com,56 to 65,67,1934.53,2013
CID0389,Lucas Whitehouse,lucas.whitehouse@yahoo.com,36 to 45,81,5919.51,2018
CID0390,Madison Johnsonson,madison.johnsonson@yahoo.com,26 to 35,98,8400.11,2012
CID0391,Matthew Davisfield,matthew.davisfield@yahoo.com,26 to 35,79,3480.48,2011
CID0392,Matthew Turnerson,matthew.turnerson@yahoo.com,46 to 55,24,382.64,2012
CID0393,Matthew Wilsonfield,matthew.wilsonfield@yahoo.com,46 to 55,10,4739.43,2019
CID0394,Mia Allenfield,mia.allenfield@yahoo.com,26 to 35,26,2178.65,2013
CID0395,Mia Brownstone,mia.brownstone@yahoo.com,46 to 55,11,7556.94,2014
CID0396,Mia Clarkson,mia.clarkson@yahoo.com,66 to 70,92,2164.44,2019
CID0397,Mia Davisfield,mia.davisfield@yahoo.com,26 to 35,34,3895.14,2022
CID0398,Mia Greenway,mia.greenway@yahoo.com,18 to 25,19,9883.78,2020
CID0399,Mia Harrington,mia.harrington@yahoo.com,18 to 25,72,3935.47,2022
CID0400,Mia Johnsonson,mia.johnsonson@yahoo.com,36 to 45,15,9709.99,2018
CID0401,Mia Lewisfield,mia.lewisfield@yahoo.com,36 to 45,89,5142.35,2016
CID0402,Mia Martinson,mia.martinson@yahoo.com,56 to 65,14,7890.07,2011
CID0403,Mia Scottman,mia.scottman@yahoo.com,66 to 70,38,8895.15,2018
CID0404,Mia Taylorson,mia.taylorson@yahoo.com,56 to 65,95,5242.7,2010
CID0405,Mia Walkerfield,mia.walkerfield@yahoo.com,46 to 55,30,3652.85,2017
CID0406,Mia Whitehouse,mia.whitehouse@yahoo.com,46 to 55,32,3353.4,2013
CID0407,Mia Wrightson,mia.wrightson@yahoo.com,18 to 25,99,6612.37,2011
CID0408,Michael Andersonfield,michael.andersonfield@yahoo.com,46 to 55,17,461.44,2018
CID0409,Michael Brownfield,michael.brownfield@yahoo.com,46 to 55,5,3661.06,2022
CID0410,Michael Kingman,michael.kingman@yahoo.com,66 to 70,1,3336.3,2012
CID0411,Michael Turnerson,michael.turnerson@yahoo.com,36 to 45,56,2181.64,2023
CID0412,Michael Walkerfield,michael.walkerfield@yahoo.com,18 to 25,44,9480.28,2015
CID0413,Mick Folett,mick.folett@yahoo.com,26 to 35,81,9639.69,2015
CID0414,Mike Bonelli,mike.bonelli@yahoo.com,66 to 70,13,3416.82,2016
CID0415,Mike Brownfield,mike.brownfield@yahoo.com,56 to 65,64,616.35,2010
CID0416,Mike Davisfield,mike.davisfield@hotmail.com,18 to 25,75,9498.12,2015
CID0417,Mike Johnsonson,mike.johnsonson@hotmail.com,46 to 55,100,6050.97,2021
CID0418,Mike Jonesfield,mike.jonesfield@hotmail.com,18 to 25,59,3720.52,2017
CID0419,Mike Millerfield,mike.millerfield@hotmail.com,66 to 70,12,3621.29,2013
CID0420,Mike Mooreland,mike.mooreland@hotmail.com,36 to 45,70,9420.18,2014
CID0421,Mike Smithson,mike.smithson@hotmail.com,46 to 55,2,6485.38,2019
CID0422,Mike Taylorson,mike.taylorson@hotmail.com,56 to 65,98,5057.21,2011
CID0423,Mike Wilsonfield,mike.wilsonfield@hotmail.com,46 to 55,97,4560.1,2015
CID0424,Natalie Brownfield,natalie.brownfield@hotmail.com,66 to 70,75,738.04,2021
CID0425,Natalie Clarkson,natalie.clarkson@hotmail.com,26 to 35,95,3496.45,2016
CID0426,Natalie Greenway,natalie.greenway@hotmail.com,36 to 45,31,549.65,2022
CID0427,Natalie Harrington,natalie.harrington@hotmail.com,46 to 55,51,1021.88,2011
CID0428,Natalie Johnsonson,natalie.johnsonson@hotmail.com,46 to 55,25,1717.34,2023
CID0429,Natalie Walkerfield,natalie.walkerfield@hotmail.com,36 to 45,47,881.18,2019
CID0430,Noah Brownfield,noah.brownfield@hotmail.com,36 to 45,64,160.12,2023
CID0431,Noah Clarkson,noah.clarkson@hotmail.com,36 to 45,4,3024.09,2022
CID0432,Noah Davisfield,noah.davisfield@hotmail.com,46 to 55,52,592.36,2020
CID0433,Noah Greenway,noah.greenway@hotmail.com,18 to 25,99,1687.4,2012
CID0434,Noah Harrington,noah.harrington@hotmail.com,26 to 35,37,3180.64,2013
CID0435,Noah Johnsonson,noah.johnsonson@hotmail.com,66 to 70,23,7611.33,2022
CID0436,Noah Lewisfield,noah.lewisfield@hotmail.com,26 to 35,74,7711.75,2021
CID0437,Noah Scottman,noah.scottman@hotmail.com,18 to 25,63,7837.63,2015
CID0438,Noah Walkerfield,noah.walkerfield@hotmail.com,56 to 65,55,9736.18,2015
CID0439,Noah Whitehouse,noah.whitehouse@hotmail.com,36 to 45,94,4591.07,2012
CID0440,Noah Youngs,noah.youngs@hotmail.com,18 to 25,42,2411.51,2012
CID0441,Oliver Brownfield,oliver.brownfield@hotmail.com,56 to 65,84,417.06,2018
CID0442,Oliver Davisfield,oliver.davisfield@hotmail.com,36 to 45,38,9467.07,2018
CID0443,Oliver Harrington,oliver.harrington@hotmail.com,66 to 70,22,3415.39,2020
CID0444,Oliver Lewisfield,oliver.lewisfield@hotmail.com,26 to 35,79,7402.1,2011
CID0445,Oliver Scottman,oliver.scottman@hotmail.com,56 to 65,73,2036.86,2021
CID0446,Oliver Taylorson,oliver.taylorson@hotmail.com,26 to 35,4,8853.63,2012
CID0447,Oliver Whitehouse,oliver.whitehouse@hotmail.com,66 to 70,93,1669.92,2014
CID0448,Oliver Wilsonfield,oliver.wilsonfield@hotmail.com,26 to 35,64,7669.61,2010
CID0449,Olivia Brownfield,olivia.brownfield@hotmail.com,26 to 35,91,151.06,2023
CID0450,Olivia Clarkson,olivia.clarkson@hotmail.com,46 to 55,36,769.54,2013
CID0451,Olivia Davisfield,olivia.davisfield@hotmail.com,18 to 25,55,7390.71,2016
CID0452,Olivia Greenway,olivia.greenway@hotmail.com,56 to 65,43,9411.46,2019
CID0453,Olivia Harrington,olivia.harrington@hotmail.com,18 to 25,74,2005.2,2023
CID0454,Olivia Johnsonson,olivia.johnsonson@hotmail.com,36 to 45,45,655.51,2015
CID0455,Olivia Lewisfield,olivia.lewisfield@hotmail.com,66 to 70,60,5751.77,2011
CID0456,Olivia Scottman,olivia.scottman@hotmail.com,36 to 45,78,7876.96,2012
CID0457,Olivia Walkerfield,olivia.walkerfield@hotmail.com,26 to 35,98,2482.17,2020
CID0458,Olivia Whitehouse,olivia.whitehouse@hotmail.com,36 to 45,71,7659.9,2021
CID0459,Olivia Youngs,olivia.youngs@hotmail.com,56 to 65,12,7797.64,2023
CID0460,Omar Neil,omar.neil@hotmail.com,66 to 70,43,2287.1,2010
CID0461,Owen Whitehouse,owen.whitehouse@hotmail.com,56 to 65,96,3135.68,2010
CID0462,Paul Brownfield,paul.brownfield@hotmail.com,66 to 70,31,6088.28,2021
CID0463,Paul Davisfield,paul.davisfield@hotmail.com,18 to 25,76,1444.35,2012
CID0464,Paul Johnsonson,paul.johnsonson@hotmail.com,66 to 70,43,1769.89,2010
CID0465,Paul Jonesfield,paul.jonesfield@hotmail.com,26 to 35,49,4119.91,2011
CID0466,Paul Millerfield,paul.millerfield@hotmail.com,46 to 55,30,8745.46,2023
CID0467,Paul Smithson,paul.smithson@hotmail.com,18 to 25,76,7257.68,2019
CID0468,Paul Taylorson,paul.taylorson@hotmail.com,26 to 35,81,8432.5,2014
CID0469,Paul Williamson,paul.williamson@hotmail.com,36 to 45,77,9021.7,2011
CID0470,Paul Wilsonfield,paul.wilsonfield@hotmail.com,36 to 45,66,3526.67,2013
CID0471,Rajesh Sathpathy,rajesh.sathpathy@hotmail.com,46 to 55,84,5208.01,2013
CID0472,Ronel Inniss,ronel.inniss@hotmail.com,18 to 25,63,847.86,2012
CID0473,Ryan Leewood,ryan.leewood@hotmail.com,26 to 35,78,8054.81,2019
CID0474,Samuel Whitehouse,samuel.whitehouse@hotmail.com,66 to 70,71,7204.78,2020
CID0475,Sarah Brownfield,sarah.brownfield@hotmail.com,46 to 55,94,9973.99,2014
CID0476,Sarah Davisfield,sarah.davisfield@hotmail.com,26 to 35,68,7850.24,2022
CID0477,Sarah Johnsonson,sarah.johnsonson@hotmail.com,26 to 35,58,9565.6,2021
CID0478,Sarah Jonesfield,sarah.jonesfield@hotmail.com,18 to 25,44,1539.94,2012
CID0479,Sarah Millerfield,sarah.millerfield@hotmail.com,46 to 55,21,2483.59,2010
CID0480,Sarah Mooreland,sarah.mooreland@hotmail.com,56 to 65,38,9034.62,2021
CID0481,Sarah Smithson,sarah.smithson@hotmail.com,36 to 45,13,7416.22,2021
CID0482,Sarah Williamson,sarah.williamson@hotmail.com,66 to 70,21,6265.34,2010
CID0483,Sarah Wilsonfield,sarah.wilsonfield@hotmail.com,18 to 25,1,4346.47,2017
CID0484,Scarlett Garciafield,scarlett.garciafield@hotmail.com,18 to 25,20,1302.27,2012
CID0485,Scarlett Mooreland,scarlett.mooreland@hotmail.com,26 to 35,29,6292.16,2021
CID0486,Sean Hudson,sean.hudson@hotmail.com,66 to 70,17,9307.58,2012
CID0487,Sebastian Allenfield,sebastian.allenfield@hotmail.com,66 to 70,26,3843.54,2022
CID0488,Sheikh Altaf Khan,sheikh.altaf@hotmail.com,46 to 55,81,9938.31,2011
CID0489,Sofia Kingman,sofia.kingman@hotmail.com,18 to 25,36,5424.54,2015
CID0490,Sofia Martinezville,sofia.martinezville@hotmail.com,26 to 35,84,5166.73,2014
CID0491,Sophia Brownfield,sophia.brownfield@hotmail.com,56 to 65,92,3665.49,2015
CID0492,Sophia Clarkson,sophia.clarkson@hotmail.com,46 to 55,9,2889.32,2014
CID0493,Sophia Greenway,sophia.greenway@hotmail.com,36 to 45,89,8462.94,2022
CID0494,Sophia Harrington,sophia.harrington@hotmail.com,56 to 65,85,3479.18,2019
CID0495,Sophia Johnsonson,sophia.johnsonson@hotmail.com,56 to 65,34,8882.74,2019
CID0496,Sophia Mooreland,sophia.mooreland@hotmail.com,56 to 65,19,9907.99,2020
CID0497,Stephen Lawrence,stephen.lawrence@hotmail.com,56 to 65,9,9098.79,2020
CID0498,Suresh Sethu,suresh.sethu@hotmail.com,46 to 55,60,3915.7,2021
CID0499,Thomas Gonzales,thomas.gonzales@hotmail.com,56 to 65,76,5287.74,2010
CID0500,Zephyr Scott,zephyr.scott@hotmail.com,56 to 65,55,8504.32,2013
